method,seed,timesteps,val_cost,elapsed_wall_s
core,11,12288,17551.535,5.3007868959975895
core,11,24576,15646.935,10.887307992001295
core,11,36864,14494.52375,16.207051073011826
core,11,49152,13976.79,21.491895935003413
core,11,61440,16820.09875,27.224881503003417
core,11,73728,14440.575,32.6155089540116
core,11,86016,14484.7725,37.90203731000656
core,11,98304,14484.6925,43.08096052000474
core,11,110592,13726.51125,48.17764373500541
core,11,122880,13727.725,53.30826195100963
core,11,135168,13788.4425,58.501777911005775
core,11,147456,14086.44375,63.72205036001105
core,11,159744,13199.1325,68.93743260500196
core,11,172032,14036.17375,74.08256103700842
core,11,184320,14424.235,79.3891938880115
core,11,196608,13199.1325,85.08203813699947
core,11,208896,13282.01,91.14156473100591
core,11,221184,13363.20875,97.05412594300287
core,11,233472,13340.875,102.9110625040048
core,11,245760,13464.355,108.7172277589998
core,22,12288,16971.6825,5.246880898994277
core,22,24576,14247.50875,10.833545824003522
core,22,36864,14052.5975,16.170728519995464
core,22,49152,14341.7225,21.430049418995623
core,22,61440,14977.96625,27.114843215997094
core,22,73728,13590.03875,32.51642073500261
core,22,86016,13823.42,37.82166739899549
core,22,98304,13113.9725,42.97613862800063
core,22,110592,13357.37,48.2051606229943
core,22,122880,13999.2375,53.40147063499899
core,22,135168,13247.92125,58.668894750997424
core,22,147456,13319.3075,63.9677549199987
core,22,159744,13604.09375,69.2128208919894
core,22,172032,13610.72625,74.48934585199459
core,22,184320,13610.72625,79.74781220000295
core,22,196608,13249.035,85.56473560500308
core,22,208896,13252.81125,91.51502228000028
core,22,221184,13335.325,97.32039668799553
core,22,233472,13465.0775,103.11334603499564
core,22,245760,13507.8325,108.88236827899529
core,33,12288,14433.435,5.197406452003634
core,33,24576,15266.3225,10.848716845997842
core,33,36864,14204.08,16.12473816300917
core,33,49152,14317.89,21.486052274005488
core,33,61440,13751.16,27.290691311995037
core,33,73728,14117.7625,32.8399440140056
core,33,86016,13593.68875,38.14394071699644
core,33,98304,13779.67,43.39852394000627
core,33,110592,17383.135,48.663996465998935
core,33,122880,17066.33875,53.843091939008445
core,33,135168,14524.7725,59.03536910700495
core,33,147456,15241.76125,64.17213777100551
core,33,159744,16951.71,69.44610203300545
core,33,172032,16636.6425,74.75573647100828
core,33,184320,16515.83625,80.05206679900584
core,33,196608,16393.18,85.90168139799789
core,33,208896,16348.23625,91.79396379600804
core,33,221184,14039.35375,97.64152387699868
core,33,233472,13213.45625,103.49912355499691
core,33,245760,13347.9475,109.37966912300908
