arm,split,seed,mean_cost,std_cost_across_days,mean_wait,p95_wait,worst_route_wait,unfinished_share,abandoned_share,completed_share,censored_share,unique_denied_share,active_bus_min,deadhead_bus_min
core,test_id,11,13096.14375,621.7051623148485,5.573582685496333,11.342374999999999,5.742956577078501,0.0,0.0,1.0,0.0,0.0,2874.0,18.03
core,test_id,22,13005.1675,620.8302166369218,5.535792818416938,11.091499999999998,5.706434089367047,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
core,test_id,33,13095.7075,621.8134637794819,5.590252762869998,11.410374999999998,5.752120327270375,0.0,0.0,1.0,0.0,0.0,2868.0,24.0
no_reassign,test_id,11,12960.163125,626.0513984627743,5.523974255465282,11.044249999999998,5.675433055048481,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
no_reassign,test_id,22,13058.1975,630.1200924662284,5.562978628459084,11.286374999999998,5.730136210722312,0.0,0.0,1.0,0.0,0.0,2873.93,18.06
no_reassign,test_id,33,13361.000625,627.384839291722,5.755819985840897,12.93475,7.367287638414122,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
no_short,test_id,11,13095.224375,621.594646888498,5.573503626772895,11.366749999999998,5.744976556535809,0.0,0.0,1.0,0.0,0.0,2873.93,18.06
no_short,test_id,22,13652.19,700.7372297764146,5.907751793597117,13.513874999999999,7.349237898663198,0.0,0.0,1.0,0.0,0.0,2867.93,24.09
no_short,test_id,33,13094.628125,619.3758315965671,5.573005651451324,11.334875,5.735940718942418,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
fairness_zero,test_id,11,13358.2025,644.4581574244012,5.7462713930009315,12.966874999999998,7.321651458945159,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
fairness_zero,test_id,22,13553.5075,687.9771289346659,5.82398075027489,13.57037499999999,7.5513132631818225,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
fairness_zero,test_id,33,13117.848125,628.3732690654411,5.624297377387433,11.588375000000001,5.792055255852458,0.0,0.0,1.0,0.0,0.0,2868.0,24.0
core,test_ood_burst,11,25262.695625,5732.076736026062,8.084064558531153,31.01199999999998,11.732492716056315,0.0,0.018386522926774406,0.9816134770732257,0.0,0.10092355621269075,2874.0,18.0
core,test_ood_burst,22,25128.426875,5654.126511558786,8.044795832067482,30.808374999999984,11.686890435509506,0.0,0.018078182840749486,0.9819218171592504,0.0,0.10109372503439505,2874.0,18.0
core,test_ood_burst,33,25200.445625,5752.315136511466,8.081733066141966,30.811249999999987,11.678726546397115,0.0,0.018245676054577317,0.9817543239454227,0.0,0.10081470119560137,2868.0,24.0
no_reassign,test_ood_burst,11,25264.6575,5779.085595659559,8.066471833152818,30.978749999999977,11.75947300176596,0.0,0.018685375676793625,0.9813146243232063,0.0,0.10146817573724526,2874.0,18.0
no_reassign,test_ood_burst,22,25267.57125,5827.003705545362,8.08482863261939,30.96512499999998,11.745031549325876,0.0,0.018416718606972148,0.9815832813930276,0.0,0.10111112203858219,2874.0,18.0
no_reassign,test_ood_burst,33,25752.915625,6607.173831552203,8.213538280056357,30.897999999999982,11.963113946628049,0.0,0.021200809207286647,0.9787991907927133,0.0,0.10063308758705894,2874.0,18.0
no_short,test_ood_burst,11,25289.23125,5696.639660928913,8.091140431909407,31.06874999999998,11.741261260814015,0.0,0.018496698113897914,0.981503301886102,0.0,0.10083594876358629,2874.0,18.0
no_short,test_ood_burst,22,25623.804375,6500.547884555557,8.290331762962431,30.39787499999998,11.776510117127472,0.0,0.019214986487581968,0.980785013512418,0.0,0.10036550096329436,2868.0,24.1
no_short,test_ood_burst,33,25262.695625,5732.076736026062,8.084064558531153,31.01199999999998,11.732492716056315,0.0,0.018386522926774406,0.9816134770732257,0.0,0.10092355621269075,2874.0,18.0
fairness_zero,test_ood_burst,11,25544.153125,6433.190865691901,8.173388881241934,30.51687499999998,11.864927346991227,0.0,0.02045017170470807,0.9795498282952919,0.0,0.1005399612906153,2874.0,18.03
fairness_zero,test_ood_burst,22,25488.245,6290.6307648541815,8.212818703676687,30.63549999999999,11.883023011952147,0.0,0.01891656888671805,0.981083431113282,0.0,0.10039787056049747,2874.0,18.0
fairness_zero,test_ood_burst,33,25265.855625,5754.445241265234,8.12159569191723,30.796874999999982,11.758559321430942,0.0,0.018310286990644863,0.9816897130093551,0.0,0.10017530838147236,2868.0,24.0
core,test_ood_traffic,11,13447.534375,727.0093626423131,5.7095662330651065,11.885874999999997,6.037822932268293,0.0,0.0,1.0,0.0,2.0931449502878e-05,2874.0,18.03
core,test_ood_traffic,22,13337.13375,722.1971571173827,5.661520671443464,11.562124999999996,5.98052045953892,0.0,0.0,1.0,0.0,1.56985871271585e-05,2874.0,18.0
core,test_ood_traffic,33,13452.646875,727.0308664162542,5.7289451243847465,11.928374999999999,6.056415646313995,0.0,0.0,1.0,0.0,5.2328623757195e-06,2868.0,24.0
no_reassign,test_ood_traffic,11,13290.518125,742.9559166566243,5.648265966406509,11.490124999999999,5.966827681792813,0.0,0.0,1.0,0.0,1.56985871271585e-05,2874.0,18.0
no_reassign,test_ood_traffic,22,13407.895625,720.8021470582293,5.699438750272763,11.798625,6.013041125535803,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
no_reassign,test_ood_traffic,33,13671.5475,696.67808968038,5.859034414492892,13.308374999999998,7.538168611898215,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
no_short,test_ood_traffic,11,13448.9375,725.0210235645259,5.7106708724933215,11.880499999999998,6.032001869203396,0.0,0.0,1.0,0.0,0.0,2873.93,18.06
no_short,test_ood_traffic,22,13954.1175,764.5865770057942,6.0024878831736865,13.890499999999998,7.506050973798104,0.0,0.0,1.0,0.0,5.5463117027175005e-06,2867.93,24.12
no_short,test_ood_traffic,33,13443.071875,722.3898514171638,5.707418874121529,11.871499999999996,6.029608535310245,0.0,0.0,1.0,0.0,2.0931449502878e-05,2874.0,18.0
fairness_zero,test_ood_traffic,11,13664.286875,683.5294634829987,5.847518827074473,13.338624999999997,7.47593756311658,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
fairness_zero,test_ood_traffic,22,13876.289375,715.3369323299761,5.929692756974503,14.093374999999995,7.747677598591051,0.0,0.0,1.0,0.0,1.90630171833175e-05,2874.0,18.03
fairness_zero,test_ood_traffic,33,13454.39375,742.3030452904155,5.748165093089049,12.105124999999997,6.0753882997559945,0.0,0.0,1.0,0.0,1.8315018315018e-05,2868.0,24.0
