         8430070 function calls (8339227 primitive calls) in 7.638 seconds

   Ordered by: internal time
   List reduced from 619 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2068    2.171    0.001    2.567    0.001 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/env/observation.py:25(observe)
     5227    0.821    0.000    1.123    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/control/guards.py:57(valid_action_mask)
     8192    0.431    0.000    0.447    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/engine.py:20(_add_arrivals)
     8192    0.246    0.000    2.395    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/engine.py:50(advance_tick)
     8192    0.166    0.000    0.348    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/dispatcher.py:92(dispatch_ready)
     3272    0.160    0.000    0.160    0.000 {built-in method torch._C._nn.linear}
  1871837    0.139    0.000    0.139    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/domain.py:214(iter_cohorts)
    48201    0.128    0.000    0.214    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/passengers.py:74(<genexpr>)
  1382555    0.104    0.000    0.104    0.000 {method 'get' of 'dict' objects}
    21968    0.101    0.000    0.529    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/passengers.py:64(board_visit)
     8192    0.097    0.000    0.119    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/passengers.py:116(abandon_expired)
       32    0.091    0.003    0.091    0.003 {method 'run_backward' of 'torch._C._EngineBase' objects}
   301059    0.087    0.000    0.087    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/passengers.py:24(_eligible)
   151632    0.085    0.000    0.107    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/timing.py:20(span)
    49986    0.084    0.000    0.307    0.000 {built-in method builtins.sum}
   184040    0.081    0.000    0.227    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/control/guards.py:25(_donor_guard)
65875/1025    0.079    0.000    0.168    0.000 /home/khoa/.local/share/uv/python/cpython-3.11.14-linux-x86_64-gnu/lib/python3.11/copy.py:128(deepcopy)
   395059    0.075    0.000    0.075    0.000 {built-in method builtins.max}
   232703    0.074    0.000    0.074    0.000 <string>:2(__eq__)
    34930    0.072    0.000    0.072    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/dispatcher.py:128(<listcomp>)
    21968    0.072    0.000    0.072    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/passengers.py:91(<listcomp>)
    75816    0.067    0.000    0.080    0.000 /home/khoa/.local/share/uv/python/cpython-3.11.14-linux-x86_64-gnu/lib/python3.11/contextlib.py:104(__init__)
    26233    0.065    0.000    0.082    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/passengers.py:39(_split_for_boarding)
     1632    0.064    0.000    0.064    0.000 {method 'logsumexp' of 'torch._C.TensorBase' objects}
    37242    0.062    0.000    0.062    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    33269    0.057    0.000    0.441    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/vehicles.py:50(complete_expired_phase)
    75816    0.052    0.000    0.147    0.000 /home/khoa/.local/share/uv/python/cpython-3.11.14-linux-x86_64-gnu/lib/python3.11/contextlib.py:141(__exit__)
   151632    0.048    0.000    0.155    0.000 {built-in method builtins.next}
     4136    0.046    0.000    0.138    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/env/observation.py:15(validate_observation)
    67046    0.046    0.000    0.046    0.000 /home/khoa/KHOA/FPTStudy/Semester8/REL/Project/src/bus_rl/sim/dispatcher.py:99(<listcomp>)


